topik,model,model-acs,cross-val,f1
bencana,Naive Bayes,0.8288288288288288,0.810651828298887,0.779873257291198
bencana,Random Forest,0.9963963963963964,0.9900860136154254,0.9963963963963964
bencana,Logistic Regression,0.9441441441441442,0.9463413639884228,0.9438626022670716
bencana,Decision Tree,0.9891891891891892,0.9851249439484734,0.9891891891891892
bencana,SVM,0.8108108108108109,0.7971220088867147,0.7332263853390615
bencana,KNearestNeighbors,0.9657657657657658,0.9522053727936081,0.9659004815353793
bencana,Deep Learning(MLP),0.9099099099099099,0.8580000815294934,0.8993989521262249
ekonomi,Naive Bayes,0.6375198728139905,0.6417472965281731,0.5823819377169391
ekonomi,Random Forest,0.9968203497615262,0.999203187250996,0.9968097677932599
ekonomi,Logistic Regression,0.7074721780604134,0.984474799215835,0.7069335604057588
ekonomi,Decision Tree,0.9968203497615262,1.0,0.9968097677932599
ekonomi,SVM,0.834658187599364,0.8184753051286915,0.8063456008489759
ekonomi,KNearestNeighbors,0.9284578696343402,0.9370976411813065,0.9273728469813155
ekonomi,Deep Learning(MLP),0.9872813990461049,0.9940254853601467,0.9873019638451208
kecelakaan,Naive Bayes,0.4584323040380047,0.5068751761059452,0.2932707337831749
kecelakaan,Random Forest,0.995249406175772,0.9982178078331925,0.9952169605909857
kecelakaan,Logistic Regression,0.9881235154394299,0.9869188503803888,0.9882370039177238
kecelakaan,Decision Tree,0.997624703087886,0.9976225697379544,0.997616704479412
kecelakaan,SVM,0.4916864608076009,0.4984995773457312,0.3494184735699824
kecelakaan,KNearestNeighbors,0.995249406175772,0.9892962806424345,0.995249406175772
kecelakaan,Deep Learning(MLP),0.501187648456057,0.49314595660749505,0.3841219592615458
kesehatan,Naive Bayes,0.04573170731707317,0.12036693465264894,0.02596727825386362
kesehatan,Random Forest,1.0,0.9948979591836734,1.0
kesehatan,Logistic Regression,0.9817073170731707,0.9959183673469388,0.9783783391405343
kesehatan,Decision Tree,1.0,0.9959183673469388,1.0
kesehatan,SVM,0.9115853658536586,0.8970521541950113,0.8694227253277318
kesehatan,KNearestNeighbors,0.9969512195121951,0.9918367346938777,0.9968735333386196
kesehatan,Deep Learning(MLP),0.9512195121951219,0.9418985776128632,0.9348962471200444
kriminalitas,Naive Bayes,0.1875,0.1901197908735597,0.07940397068549045
kriminalitas,Random Forest,0.9979838709677419,0.9944545962133902,0.9979907557888914
kriminalitas,Logistic Regression,0.8971774193548387,0.8744378457946297,0.8864668630975379
kriminalitas,Decision Tree,0.9959677419354839,0.9949596467184406,0.9959949997568641
kriminalitas,SVM,0.7137096774193549,0.7135678391959799,0.608657275679956
kriminalitas,KNearestNeighbors,0.969758064516129,0.9536064159179739,0.969670781514172
kriminalitas,Deep Learning(MLP),0.7278225806451613,0.72516369727425,0.6445545839570386
olahraga,Naive Bayes,0.975609756097561,0.9889639639639638,0.9788617886178862
olahraga,Random Forest,1.0,0.9944444444444442,1.0
olahraga,Logistic Regression,0.975609756097561,0.9726726726726727,0.9636022514071295
olahraga,Decision Tree,1.0,0.9972222222222221,1.0
olahraga,SVM,1.0,0.9917417417417417,1.0
olahraga,KNearestNeighbors,1.0,0.9972222222222221,1.0
olahraga,Deep Learning(MLP),1.0,0.9944444444444442,1.0
