Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.37317127633809677,-7.181542920985093
2,0.01,0.1,0.37317127633809677,-7.156160497717973
2,0.01,1,0.37317127633809677,-7.143566385853584
2,0.01,symmetric,0.37317127633809677,-7.144561309191027
2,0.1,0.01,0.37317127633809677,-7.173455636877486
2,0.1,0.1,0.37317127633809677,-7.148411765399438
2,0.1,1,0.37317127633809677,-7.137142966669588
2,0.1,symmetric,0.37317127633809677,-7.137624796451092
2,1,0.01,0.3833875031676365,-7.175279175460089
2,1,0.1,0.3833875031676365,-7.150882436662036
2,1,1,0.3833875031676365,-7.140802506640721
2,1,symmetric,0.3833875031676365,-7.14103748151466
2,symmetric,0.01,0.37317127633809677,-7.172584351784298
2,symmetric,0.1,0.37317127633809677,-7.148001912423644
2,symmetric,1,0.37317127633809677,-7.13803750107264
2,symmetric,symmetric,0.37317127633809677,-7.138037278360991
3,0.01,0.01,0.4097683369953753,-7.14442355121331
3,0.01,0.1,0.41241263339200684,-7.109249228723214
3,0.01,1,0.4171244260742726,-7.09050854535242
3,0.01,symmetric,0.4127755654891281,-7.095502791425634
3,0.1,0.01,0.40976833699537535,-7.133583357658612
3,0.1,0.1,0.40976833699537535,-7.099021589124124
3,0.1,1,0.4127755654891281,-7.084517532090016
3,0.1,symmetric,0.40976833699537535,-7.086991952738644
3,1,0.01,0.40987705058349994,-7.134910226393428
3,1,0.1,0.40987705058349994,-7.102867273142229
3,1,1,0.4084908415824097,-7.0943957721727315
3,1,symmetric,0.40987705058349994,-7.0937422275989155
3,symmetric,0.01,0.3982595643638342,-7.137630857198901
3,symmetric,0.1,0.3982595643638342,-7.104374285178639
3,symmetric,1,0.4009066217324995,-7.093420612801782
3,symmetric,symmetric,0.3982595643638342,-7.093508224613354
4,0.01,0.01,0.44240153116237957,-7.073845473252508
4,0.01,0.1,0.44240153116237957,-7.0335354632607086
4,0.01,1,0.451893670429738,-7.022228007574744
4,0.01,symmetric,0.45189367042973794,-7.02294968130242
4,0.1,0.01,0.4501937375418994,-7.0593950257054665
4,0.1,0.1,0.4501937375418994,-7.020010912597731
4,0.1,1,0.451893670429738,-7.013073213080954
4,0.1,symmetric,0.45191430249284614,-7.01063238417785
4,1,0.01,0.4436387432586568,-7.066431748613905
4,1,0.1,0.4436387432586568,-7.03097215297214
4,1,1,0.44363874325865676,-7.033101890922211
4,1,symmetric,0.4436387432586568,-7.024882352522201
4,symmetric,0.01,0.4388802846925727,-7.0598476466115105
4,symmetric,0.1,0.4388802846925727,-7.021498411379083
4,symmetric,1,0.4441220961133262,-7.017263852426016
4,symmetric,symmetric,0.44240153116237946,-7.013037575048021
5,0.01,0.01,0.47459600805629487,-7.055995267643892
5,0.01,0.1,0.47357432969885316,-7.0100728666707
5,0.01,1,0.47515347490487814,-6.999078810469315
5,0.01,symmetric,0.4735743296988531,-7.000773772239082
5,0.1,0.01,0.47430236901851036,-7.037546890818096
5,0.1,0.1,0.47430236901851036,-6.993444215724674
5,0.1,1,0.47710891844273384,-6.988749581018965
5,0.1,symmetric,0.47505259688848894,-6.985296378834974
5,1,0.01,0.4662035791153937,-7.058719721723216
5,1,0.1,0.4662035791153937,-7.018770034286833
5,1,1,0.46061097158620523,-7.024952072849827
5,1,symmetric,0.4662035791153937,-7.012541752438829
5,symmetric,0.01,0.47650810149754597,-7.037778362668425
5,symmetric,0.1,0.47650810149754597,-6.994473664417771
5,symmetric,1,0.474013201435442,-6.992483070950932
5,symmetric,symmetric,0.47650810149754597,-6.986934484868957
6,0.01,0.01,0.43183808475273694,-7.0434812888934015
6,0.01,0.1,0.43183808475273683,-6.993787476057083
6,0.01,1,0.42975306454946777,-6.977256131744046
6,0.01,symmetric,0.43609380424625815,-6.985500937796396
6,0.1,0.01,0.43922276104192376,-7.0259355806359345
6,0.1,0.1,0.43922276104192376,-6.978234324402563
6,0.1,1,0.4304648394454184,-6.969559753265199
6,0.1,symmetric,0.43922276104192376,-6.9717721884747945
6,1,0.01,0.417986230619743,-7.047484627341146
6,1,0.1,0.417986230619743,-7.004341768110092
6,1,1,0.42904664196874176,-7.015295298954056
6,1,symmetric,0.41713025750501753,-7.00022761581995
6,symmetric,0.01,0.4380705796206641,-7.026580968750118
6,symmetric,0.1,0.4390866197144252,-6.979826752190111
6,symmetric,1,0.43607087500331093,-6.975293222061165
6,symmetric,symmetric,0.43982713872876844,-6.973957392658756
7,0.01,0.01,0.4539465106978941,-7.0160670331801676
7,0.01,0.1,0.44894887178062354,-6.961801077309971
7,0.01,1,0.45031914324484307,-6.953087535875585
7,0.01,symmetric,0.4556232509924136,-6.956520674041369
7,0.1,0.01,0.4552978693479101,-6.993994949918224
7,0.1,0.1,0.45345488375951637,-6.941850771736479
7,0.1,1,0.4665068824917908,-6.941450356748647
7,0.1,symmetric,0.45820620806842177,-6.936490749054916
7,1,0.01,0.44381360127137953,-7.0341455160571575
7,1,0.1,0.43999342775894457,-6.9898129022793345
7,1,1,0.42426684824226923,-7.006891690582651
7,1,symmetric,0.43999342775894457,-6.9871167066122695
7,symmetric,0.01,0.4552585730747921,-6.993879934254793
7,symmetric,0.1,0.4564344729877416,-6.941544859904471
7,symmetric,1,0.4628603953178772,-6.943992765837389
7,symmetric,symmetric,0.45958710409513925,-6.936910796469604
